Exception_ID,Dataset,Source_Row_Index,Source_Row_Number,Record_ID,Column,Issue_Type,Value,Rule_ID,Severity,Recommended_Action,Status
EXC-00001,Equipment_Events,6,8,EVT0007,Equipment_Name,Missing value,,DQ-0067,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00002,Equipment_Events,0,2,EVT0001,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00003,Equipment_Events,4,6,EVT0005,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00004,Equipment_Events,6,8,EVT0007,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00005,Equipment_Events,9,11,EVT0010,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00006,Equipment_Events,13,15,EVT0014,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00007,Equipment_Events,15,17,EVT0016,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00008,Equipment_Events,17,19,EVT0018,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00009,Equipment_Events,18,20,EVT0019,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00010,Equipment_Events,21,23,EVT0022,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00011,Equipment_Events,25,27,EVT0026,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00012,Equipment_Events,26,28,EVT0027,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00013,Equipment_Events,27,29,EVT0028,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00014,Equipment_Events,41,43,EVT0042,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00015,Equipment_Events,43,45,EVT0044,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00016,Equipment_Events,45,47,EVT0010,Comment,Missing value,,DQ-0065,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00017,Delays_Downtime,20,22,DLY0021,Duration,Missing value,,DQ-0036,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00018,Delays_Downtime,0,2,DLY0001,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00019,Delays_Downtime,3,5,DLY0004,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00020,Delays_Downtime,4,6,DLY0005,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00021,Delays_Downtime,9,11,DLY0010,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00022,Delays_Downtime,13,15,DLY0014,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00023,Delays_Downtime,15,17,DLY0016,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00024,Delays_Downtime,17,19,DLY0018,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00025,Delays_Downtime,22,24,DLY0023,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00026,Delays_Downtime,26,28,DLY0027,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00027,Delays_Downtime,28,30,DLY0029,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00028,Delays_Downtime,31,33,DLY0032,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00029,Delays_Downtime,33,35,DLY0034,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00030,Delays_Downtime,34,36,DLY0035,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00031,Delays_Downtime,36,38,DLY0037,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00032,Delays_Downtime,45,47,DLY0005,Approved_By,Missing value,,DQ-0027,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00033,Delays_Downtime,9,11,DLY0010,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00034,Delays_Downtime,16,18,DLY0017,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00035,Delays_Downtime,18,20,DLY0019,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00036,Delays_Downtime,19,21,DLY0020,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00037,Delays_Downtime,27,29,DLY0028,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00038,Delays_Downtime,30,32,DLY0031,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00039,Delays_Downtime,33,35,DLY0034,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00040,Delays_Downtime,35,37,DLY0036,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00041,Delays_Downtime,39,41,DLY0040,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00042,Delays_Downtime,42,44,DLY0043,Comment,Missing value,,DQ-0030,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00043,Delays_Downtime,5,7,DLY0006,Duration,Negative numeric value,-45.0,DQ-0037,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00044,Delays_Downtime,8,10,DLY0009,Start_Time|End_Time,Temporal contradiction,2026-07-03 12:00:00 -> 2026-07-03 11:30:00,DQ-0047,Critical,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00045,Operator_Activities,7,9,ACT0008,Operator_ID,Missing value,,DQ-0124,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00046,Operator_Activities,0,2,ACT0001,Comment,Missing value,,DQ-0113,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00047,Operator_Activities,8,10,ACT0009,Comment,Missing value,,DQ-0113,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00048,Operator_Activities,13,15,ACT0014,Comment,Missing value,,DQ-0113,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00049,Operator_Activities,21,23,ACT0022,Comment,Missing value,,DQ-0113,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00050,Operator_Activities,24,26,ACT0025,Comment,Missing value,,DQ-0113,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00051,Operator_Activities,25,27,ACT0026,Comment,Missing value,,DQ-0113,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00052,Operator_Activities,12,14,ACT0013,Activity_Start|Activity_End,Temporal contradiction,2026-07-03 23:00:00 -> 2026-07-03 21:00:00,DQ-0111,Critical,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00053,Shift_Performance,0,2,SHF0001,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00054,Shift_Performance,1,3,SHF0002,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00055,Shift_Performance,2,4,SHF0003,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00056,Shift_Performance,3,5,SHF0004,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00057,Shift_Performance,4,6,SHF0005,Actual_Hours,Unparseable date/time,26,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00058,Shift_Performance,5,7,SHF0006,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00059,Shift_Performance,6,8,SHF0007,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00060,Shift_Performance,7,9,SHF0008,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00061,Shift_Performance,8,10,SHF0009,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00062,Shift_Performance,9,11,SHF0010,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00063,Shift_Performance,10,12,SHF0011,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00064,Shift_Performance,11,13,SHF0012,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00065,Shift_Performance,12,14,SHF0013,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00066,Shift_Performance,13,15,SHF0014,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
