Register_ID,Exception_ID,Dataset,Source_Row_Index,Source_Row_Number,Record_ID,Column,Issue_Type,Current_Value,Rule_ID,Rule_Type,Valid_Condition,Rule_Action,Rule_Reason,Severity,Severity_Rank,Status,Review_Priority,Recommended_Action,Review_Owner,Review_Decision,Resolution_Value,Resolution_Notes,Include_In_Trusted_Data,Requires_Source_Review,Created_From
REG-00001,REC-00001,Access_Control,17,19,ACC0018,Employee_ID,Operator reference not found,OP9999,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the operator exists or correct the operator identifier,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00002,EXC-00044,Delays_Downtime,8,10,DLY0009,Start_Time|End_Time,Temporal contradiction,2026-07-03 12:00:00 -> 2026-07-03 11:30:00,DQ-0048,Temporal integrity,End_Time must be after Start_Time,Flag temporal contradictions for review,"Timestamp ordering affects duration, validity, or workflow status",Critical,1,REVIEW_REQUIRED,P1,Review source evidence before correcting,Operations data steward,,,,No - unresolved critical exception,True,exception_candidates.csv
REG-00003,EXC-00262,Environmental_Readings,1,3,ENV0002,Reading_Time|Calibration_Due,Temporal contradiction,2026-07-01 12:00:00 -> 2026-03-08,DQ-0060,Temporal integrity,Calibration_Due should not be before Reading_Time,Flag temporal contradictions for review,"Timestamp ordering affects duration, validity, or workflow status",Critical,1,REVIEW_REQUIRED,P1,Review source evidence before correcting,Operations data steward,,,,No - unresolved critical exception,True,exception_candidates.csv
REG-00004,EXC-00263,Environmental_Readings,33,35,ENV0034,Reading_Time|Calibration_Due,Temporal contradiction,2026-07-05 12:00:00 -> 2026-04-09,DQ-0060,Temporal integrity,Calibration_Due should not be before Reading_Time,Flag temporal contradictions for review,"Timestamp ordering affects duration, validity, or workflow status",Critical,1,REVIEW_REQUIRED,P1,Review source evidence before correcting,Operations data steward,,,,No - unresolved critical exception,True,exception_candidates.csv
REG-00005,REC-00010,Operator_Activities,5,7,ACT0006,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-02 12:00:00 -> 2026-07-02 13:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00006,REC-00011,Operator_Activities,9,11,ACT0010,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-03 08:00:00 -> 2026-07-03 11:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00007,REC-00012,Operator_Activities,11,13,ACT0012,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-03 18:00:00 -> 2026-07-03 20:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00008,EXC-00052,Operator_Activities,12,14,ACT0013,Activity_Start|Activity_End,Temporal contradiction,2026-07-03 23:00:00 -> 2026-07-03 21:00:00,DQ-0115,Temporal integrity,Activity_End must be after Activity_Start,Flag temporal contradictions for review,"Timestamp ordering affects duration, validity, or workflow status",Critical,1,REVIEW_REQUIRED,P1,Review source evidence before correcting,Operations data steward,,,,No - unresolved critical exception,True,exception_candidates.csv
REG-00009,REC-00013,Operator_Activities,17,19,ACT0018,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-05 00:00:00 -> 2026-07-05 03:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00010,REC-00014,Operator_Activities,25,27,ACT0026,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-06 16:00:00 -> 2026-07-06 20:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00011,REC-00015,Operator_Activities,26,28,ACT0027,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-06 21:00:00 -> 2026-07-07 00:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00012,REC-00016,Operator_Activities,27,29,ACT0028,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-07 02:00:00 -> 2026-07-07 06:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00013,REC-00017,Operator_Activities,29,31,ACT0030,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-07 12:00:00 -> 2026-07-07 15:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00014,REC-00018,Operator_Activities,30,32,ACT0031,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-07 17:00:00 -> 2026-07-07 21:00:00,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,Critical,1,REVIEW_REQUIRED,P1,Confirm whether the equipment was available for operation during maintenance,Data quality reviewer,,,,No - unresolved critical exception,True,reconciliation_findings.csv
REG-00015,EXC-00172,Safety_Observations,5,7,SAF0006,Observation_Date|Closed_Date,Temporal contradiction,2026-07-03 12:00:00 -> 2026-07-01 12:00:00,DQ-0154,Temporal integrity,Closed_Date must not be before Observation_Date when populated,Flag temporal contradictions for review,"Timestamp ordering affects duration, validity, or workflow status",Critical,1,REVIEW_REQUIRED,P1,Review source evidence before correcting,Operations data steward,,,,No - unresolved critical exception,True,exception_candidates.csv
REG-00016,EXC-00189,Training_Records,7,9,TRN0008,Completion_Date|Expiry_Date,Temporal contradiction,2025-05-01 -> 2025-04-11,DQ-0186,Temporal integrity,Expiry_Date must be after Completion_Date,Flag temporal contradictions for review,"Timestamp ordering affects duration, validity, or workflow status",Critical,1,REVIEW_REQUIRED,P1,Review source evidence before correcting,Operations data steward,,,,No - unresolved critical exception,True,exception_candidates.csv
REG-00017,REC-00019,Access_Control,37,39,ACC0038,Access_Result,Denied access during recorded activity,Denied,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,High,2,REVIEW_REQUIRED,P2,Confirm whether the access denial or activity record is correct,Data quality reviewer,,,,Yes with documented caveat,True,reconciliation_findings.csv
REG-00018,REC-00020,Access_Control,38,40,ACC0039,Access_Result,Denied access during recorded activity,Denied,RECONCILIATION-CHECK,Reconciliation,"Cross-dataset records should agree at shared operator, equipment, and event grains",Flag cross-dataset contradictions for source review,Reconciliation checks identify contradictions that cleaning alone cannot resolve,High,2,REVIEW_REQUIRED,P2,Confirm whether the access denial or activity record is correct,Data quality reviewer,,,,Yes with documented caveat,True,reconciliation_findings.csv
REG-00019,EXC-00043,Delays_Downtime,5,7,DLY0006,Duration,Negative numeric value,-45.0,DQ-0037,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,Numeric profile detected values below zero,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Domain subject-matter reviewer,,,,Yes with documented caveat,True,exception_candidates.csv
REG-00020,EXC-00261,Environmental_Readings,15,17,ENV0016,Value,Negative numeric value,-25.0,DQ-0064,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,Numeric profile detected values below zero,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Domain subject-matter reviewer,,,,Yes with documented caveat,True,exception_candidates.csv
REG-00021,EXC-00190,Maintenance_Notifications,0,2,MNT0001,Downtime_Hours,Unparseable date/time,2,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00022,EXC-00191,Maintenance_Notifications,1,3,MNT0002,Downtime_Hours,Unparseable date/time,2,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00023,EXC-00192,Maintenance_Notifications,2,4,MNT0003,Downtime_Hours,Unparseable date/time,1,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00024,EXC-00193,Maintenance_Notifications,3,5,MNT0004,Downtime_Hours,Unparseable date/time,4,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00025,EXC-00194,Maintenance_Notifications,4,6,MNT0005,Downtime_Hours,Unparseable date/time,1,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00026,EXC-00195,Maintenance_Notifications,5,7,MNT0006,Downtime_Hours,Unparseable date/time,1,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00027,EXC-00196,Maintenance_Notifications,6,8,MNT0007,Downtime_Hours,Unparseable date/time,-4,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00028,EXC-00237,Maintenance_Notifications,6,8,MNT0007,Downtime_Hours,Negative numeric value,-4,DQ-0091,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,Numeric profile detected values below zero,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Yes with documented caveat,True,exception_candidates.csv
REG-00029,EXC-00197,Maintenance_Notifications,7,9,MNT0008,Downtime_Hours,Unparseable date/time,4,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
REG-00030,EXC-00198,Maintenance_Notifications,8,10,MNT0009,Downtime_Hours,Unparseable date/time,2,DQ-0093,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,Profile shows date/time-like field requiring consistent parsing,High,2,REVIEW_REQUIRED,P2,Review source evidence before correcting,Operations data steward,,,,Review before time-based analysis,True,exception_candidates.csv
