Reconciliation_ID,Dataset,Source_Row_Index,Source_Row_Number,Record_ID,Column,Issue_Type,Current_Value,Related_Dataset,Related_Record_ID,Related_Column,Related_Value,Check_Type,Severity,Recommended_Action,Status,Evidence
REC-00001,Access_Control,17,19,ACC0018,Employee_ID,Operator reference not found,OP9999,Operator_Activities; Training_Records,,Operator_ID,,Referential integrity,Critical,Confirm whether the operator exists or correct the operator identifier,REVIEW_REQUIRED,OP9999 is absent from operator reference datasets
REC-00002,Operator_Activities,28,30,ACT0029,Equipment_Name,Equipment reference not found,TRK-099,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK-099 is absent from equipment reference datasets
REC-00003,Environmental_Readings,1,3,ENV0002,Equipment_Nearby,Equipment reference not found,truck03,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck03 is absent from equipment reference datasets
REC-00004,Environmental_Readings,2,4,ENV0003,Equipment_Nearby,Equipment reference not found,EXC001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC001 is absent from equipment reference datasets
REC-00005,Environmental_Readings,3,5,ENV0004,Equipment_Nearby,Equipment reference not found,EXC-02,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC-02 is absent from equipment reference datasets
REC-00006,Environmental_Readings,4,6,ENV0005,Equipment_Nearby,Equipment reference not found,Drill 01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Drill 01 is absent from equipment reference datasets
REC-00007,Environmental_Readings,5,7,ENV0006,Equipment_Nearby,Equipment reference not found,truck01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck01 is absent from equipment reference datasets
REC-00008,Environmental_Readings,6,8,ENV0007,Equipment_Nearby,Equipment reference not found,TRK002,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK002 is absent from equipment reference datasets
REC-00009,Environmental_Readings,7,9,ENV0008,Equipment_Nearby,Equipment reference not found,truck03,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck03 is absent from equipment reference datasets
REC-00010,Environmental_Readings,8,10,ENV0009,Equipment_Nearby,Equipment reference not found,EX 001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EX 001 is absent from equipment reference datasets
REC-00011,Environmental_Readings,9,11,ENV0010,Equipment_Nearby,Equipment reference not found,EXC002,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC002 is absent from equipment reference datasets
REC-00012,Environmental_Readings,10,12,ENV0011,Equipment_Nearby,Equipment reference not found,DRL001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,DRL001 is absent from equipment reference datasets
REC-00013,Environmental_Readings,11,13,ENV0012,Equipment_Nearby,Equipment reference not found,TRK001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK001 is absent from equipment reference datasets
REC-00014,Environmental_Readings,12,14,ENV0013,Equipment_Nearby,Equipment reference not found,Truck 2,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Truck 2 is absent from equipment reference datasets
REC-00015,Environmental_Readings,13,15,ENV0014,Equipment_Nearby,Equipment reference not found,TRK003,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK003 is absent from equipment reference datasets
REC-00016,Environmental_Readings,14,16,ENV0015,Equipment_Nearby,Equipment reference not found,EXC-01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC-01 is absent from equipment reference datasets
REC-00017,Environmental_Readings,15,17,ENV0016,Equipment_Nearby,Equipment reference not found,Excavator 2,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Excavator 2 is absent from equipment reference datasets
REC-00018,Environmental_Readings,16,18,ENV0017,Equipment_Nearby,Equipment reference not found,DRILL-1,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,DRILL-1 is absent from equipment reference datasets
REC-00019,Environmental_Readings,17,19,ENV0018,Equipment_Nearby,Equipment reference not found,TRK 001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK 001 is absent from equipment reference datasets
REC-00020,Environmental_Readings,18,20,ENV0019,Equipment_Nearby,Equipment reference not found,truck02,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck02 is absent from equipment reference datasets
REC-00021,Environmental_Readings,19,21,ENV0020,Equipment_Nearby,Equipment reference not found,Truck 3,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Truck 3 is absent from equipment reference datasets
REC-00022,Environmental_Readings,20,22,ENV0021,Equipment_Nearby,Equipment reference not found,Excavator 1,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Excavator 1 is absent from equipment reference datasets
