Rule_ID,Dataset,Column,Rule_Type,Valid_Condition,Action,Auto_Correct_Allowed,Severity,Reason,Rule_Source,Evidence
DQ-0001,Access_Control,Access_Event_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0002,Access_Control,Access_Event_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0003,Access_Control,Access_Event_ID,Validity,Identifier should match ACC followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0004,Access_Control,Access_Point,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Main Gate | Plant Turnstile | Main Gate
DQ-0005,Access_Control,Access_Result,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=granted | Granted | Denied
DQ-0006,Access_Control,Badge_ID,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,High,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=1; Missing_Pct=2.17
DQ-0007,Access_Control,Badge_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0008,Access_Control,Badge_ID,Validity,Identifier should match BDG dash four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0009,Access_Control,"Badge_ID, Employee_ID, Employee_Name",Data dictionary guidance,Purpose-limit access and avoid unnecessary exposure,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Access and identity data,Generated from data_dictionary.csv,Sensitivity=Personal
DQ-0010,Access_Control,Contractor_Group,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Contractor-B | Contractor-A | Contractor-C
